stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon
balthart_in,37019,Baltimore Ave and Hartwick Rd (Inbound),,38.97947,-76.93783
shoebuil,37232,Shoemaker Building,,38.98387,-76.94219
loty,34511,Lot Y and Chapel Dr,,38.98436,-76.94174
avwill,27863,A.V. Williams Building,,38.99098,-76.93726
techpain,27973,Paint Branch Dr and Technology Dr,,38.99258,-76.93727
camb,48069,Cambridge Hall (Outbound),,38.99146,-76.94303
cumber,55006,Cumberland Hall,,38.99235,-76.94425
umuc,36108,UMUC - College Park Marriott,,38.98528,-76.95404
metzgree_out,30299,Metzerott Rd and Greenmead Dr (Outbound),,39.00083,-76.944
metz36th,30460,Metzerott Road and 36th Avenue (Outbound),,39.00144,-76.94748
metzstan_out,30461,Metzerott Road and St. Andrew's Place (Outbound),,39.00189,-76.95013
metzsa,30252,Metzerott Rd @ System Administration,,39.00241,-76.95317
arch_ob,37119,Metzerott Rd at Archives II (Outbound),,39.00316,-76.95813
metzadel,30920,Metzerott Rd and Adelphi Rd,,39.00252,-76.96572
coolspri_out,34650,Metzerott Rd and Riggs Rd (Outbound),,39.00327,-76.97226
metzpres,30281,Metzerott Rd at Presidential Towers,,39.00371,-76.97557
metznham_out,30268,Metzerott Rd and New Hampshire Ave (Outbound),,39.00423,-76.98045
nhamfox,30418,New Hampshire Ave and Fox St,,39.00804,-76.97978
nhamadel_out,37072,New Hampshire Ave and Adelphi Road (Outbound),,39.01108,-76.97894
nhamoak_out,30275,New Hampshire Ave and Oakview Dr (Outbound),,39.01506,-76.9778
chateau_r,37124,Mt Pisgah Rd at Chateau Apartments,,39.01658,-76.97613
nhamadel_in,37106,New Hampshire Ave and Adelphi Rd (Inbound),,39.01162,-76.97904
metznham_in,30004,Metzerott Rd and New Hampshire Ave (Inbound),,39.00411,-76.98006
metz1811,27892,Metzerott Rd at The Delano Apts,,39.00367,-76.97606
coolspri_in,34697,Metzerott Rd and Riggs Rd (Inbound),,39.00327,-76.97287
metz24th,30036,Metzerott Rd and 24th Ave,,39.00259,-76.96685
metzarch,27918,Metzerott Rd at Archives II (Inbound),,39.00314,-76.95893
metzobse,27408,Metzerott Rd @ UM Observatory,,39.00258,-76.95458
metzstan_in,30462,Metzerott Road and St. Andrew's Place (Inbound),,39.00205,-76.95149
metz36th_in,30015,Metzerott Road and 36th Avenue (Inbound),,39.00148,-76.94813
metzgree_in,30247,Metzerott Rd and University Blvd (Inbound),,39.0009,-76.94479
painrege_bus,30898,Paint Branch Dr and Regents Dr (Bus Shelter),,38.9935,-76.93739
painstad,50001,Paint Branch Dr and Stadium Dr,,38.99029,-76.9373
cpmetro_d,36469,College Park - UMD Metro Station,,38.97554,-76.928
acphys,31564,River Road and Rivertech Court,,38.96996,-76.92711
acphys_elli,31689,American Center for Physics,,38.97182,-76.93014
rayt,34405,Raytheon,,38.96836,-76.92833
collpark,31570,College Park Academy,,38.96829,-76.92792
diviofit,31571,Division of IT,,38.96917,-76.92325
msqua,34293,M-Square,,38.97076,-76.92299
usda,31881,USDA,,38.96989,-76.92614
rrmshel,31899,River Road at American Center for Physics,,38.9722,-76.92834
cpmetro_a,36469,College Park - UMD Metro Station (Hidden Arrival),,38.97607,-76.9278
